"filename", "language", "Markdown", "Python", "YAML", "JSON", "JSON with Comments", "TypeScript", "HTML", "PostCSS", "TypeScript JSX", "Ini", "Docker", "XML", "comment", "blank", "total"
"/home/liush/projects/serverlessAIAgents/apps/Legacy_modernization_geo_platform/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 8, 41
"/home/liush/projects/serverlessAIAgents/apps/Legacy_modernization_geo_platform/README.md", "Markdown", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 126
"/home/liush/projects/serverlessAIAgents/apps/Legacy_modernization_geo_platform/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3
"/home/liush/projects/serverlessAIAgents/apps/Legacy_modernization_geo_platform/app_config.json", "JSON", 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 189
"/home/liush/projects/serverlessAIAgents/apps/Legacy_modernization_geo_platform/backend/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3
"/home/liush/projects/serverlessAIAgents/apps/Legacy_modernization_geo_platform/backend/intelligence.py", "Python", 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 27, 212
"/home/liush/projects/serverlessAIAgents/apps/Legacy_modernization_geo_platform/backend/orchestrator.py", "Python", 0, 957, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 46, 1034
"/home/liush/projects/serverlessAIAgents/apps/Legacy_modernization_geo_platform/backend/publisher.py", "Python", 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 220
"/home/liush/projects/serverlessAIAgents/apps/Legacy_modernization_geo_platform/backend/qa.py", "Python", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 83
"/home/liush/projects/serverlessAIAgents/apps/Legacy_modernization_geo_platform/backend/reporting.py", "Python", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 72
"/home/liush/projects/serverlessAIAgents/apps/Legacy_modernization_geo_platform/backend/repository.py", "Python", 0, 288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 27, 467
"/home/liush/projects/serverlessAIAgents/apps/Legacy_modernization_geo_platform/backend/schemas.py", "Python", 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 114, 365
"/home/liush/projects/serverlessAIAgents/apps/Legacy_modernization_geo_platform/backend/settings.py", "Python", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 89
