"filename", "language", "Markdown", "Python", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "YAML", "Jinja", "Ini", "Docker", "pip requirements", "MS SQL", "HTML", "JavaScript", "PostCSS", "Java", "Shell Script", "Properties", "XML", "comment", "blank", "total"
"/home/liush/projects/serverlessAIAgents/agentflow/AGENTS.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"/home/liush/projects/serverlessAIAgents/agentflow/__init__.py", "Python", 0, 533, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 279, 29, 841
"/home/liush/projects/serverlessAIAgents/agentflow/adapters/__init__.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 11
"/home/liush/projects/serverlessAIAgents/agentflow/adapters/protocol_adapter.py", "Python", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 31, 238
"/home/liush/projects/serverlessAIAgents/agentflow/agent_decorator.py", "Python", 0, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 263, 80, 592
"/home/liush/projects/serverlessAIAgents/agentflow/agents/__init__.py", "Python", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 4, 93
"/home/liush/projects/serverlessAIAgents/agentflow/agents/data_analytics_agent.py", "Python", 0, 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 67, 430
"/home/liush/projects/serverlessAIAgents/agentflow/agents/faq_agent.py", "Python", 0, 713, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 101, 932
"/home/liush/projects/serverlessAIAgents/agentflow/agents/sales_agent.py", "Python", 0, 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 66, 367
"/home/liush/projects/serverlessAIAgents/agentflow/api/__init__.py", "Python", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 4, 111
"/home/liush/projects/serverlessAIAgents/agentflow/api/response.py", "Python", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 41, 275
"/home/liush/projects/serverlessAIAgents/agentflow/api/rich_builder.py", "Python", 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 239, 52, 546
"/home/liush/projects/serverlessAIAgents/agentflow/api/router_factory.py", "Python", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 48, 262
"/home/liush/projects/serverlessAIAgents/agentflow/api/sse_emitter.py", "Python", 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 41, 278
"/home/liush/projects/serverlessAIAgents/agentflow/api/websocket_hub.py", "Python", 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 66, 450
"/home/liush/projects/serverlessAIAgents/agentflow/channels/__init__.py", "Python", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 11, 95
"/home/liush/projects/serverlessAIAgents/agentflow/channels/base.py", "Python", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 25, 254
